row_id,split,n_moves_scored,cpl_list
43764,test,31,"[20, 135, 2, 55, 131, 0, 286, 251, 70, 3, 36, 9, 26, 485, 72, 0, 46, 86, 47, 212, 0, 128, 74, 72, 0, 436, 14, 148, 435, 0, 0]"
53282,test,20,"[41, 4, 40, 96, 0, 2, 2, 26, 7, 17, 0, 46, 33, 75, 96, 22, 31, 0, 0, 0]"
61764,test,0,
10299,test,15,"[20, 0, 13, 17, 0, 122, 44, 171, 6, 0, 176, 147, 68, 4, 91]"
52367,test,55,"[41, 4, 6, 0, 36, 15, 0, 19, 59, 283, 84, 28, 19, 163, 21, 13, 59, 0, 0, 150, 137, 91, 267, 44, 8, 0, 0, 29, 36, 19, 107, 0, 35, 106, 84, 82, 196, 30, 0, 61, 22, 24, 76, 151, 56, 0, 42, 46, 0, 72, 60, 73, 117, 105, 0]"
43630,test,30,"[41, 10, 94, 0, 71, 14, 25, 42, 9, 3, 75, 6, 14, 10, 4, 74, 86, 3, 29, 56, 11, 0, 25, 0, 0, 17, 0, 14, 2, 2]"
19445,test,53,"[20, 9, 29, 0, 98, 0, 3, 2, 111, 16, 0, 0, 901, 56, 59, 20, 47, 55, 33, 153, 99, 73, 5, 136, 20, 8, 104, 174, 77, 137, 207, 165, 0, 16, 24, 221, 117, 86, 0, 6, 130, 180, 1, 0, 148, 25, 117, 0, 0, 0, 1, 0, 0]"
8293,test,4,"[58, 60, 7, 6]"
34208,test,18,"[20, 174, 58, 0, 63, 4, 0, 162, 416, 122, 617, 14, 189, 28, 20, 114, 484, 0]"
43735,test,30,"[29, 14, 15, 0, 17, 30, 62, 23, 78, 48, 107, 94, 0, 0, 143, 107, 0, 90, 0, 1, 106, 0, 150, 0, 7, 2, 106, 61, 25, 0]"
23899,test,35,"[1, 105, 18, 47, 73, 150, 0, 0, 106, 55, 65, 33, 76, 82, 0, 479, 27, 64, 0, 108, 0, 148, 32, 28, 35, 5, 46, 24, 189, 39, 39, 156, 22, 45, 24]"
9369,test,14,"[1, 52, 54, 2, 100, 57, 187, 0, 0, 324, 199, 89, 156, 78]"
14762,test,34,"[34, 30, 0, 63, 21, 0, 0, 87, 4, 69, 220, 48, 66, 6, 128, 69, 54, 0, 345, 136, 0, 92, 11, 177, 0, 0, 40, 63, 19, 16, 81, 122, 943, 0]"
